"Txhash","Blockno","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x98dfabad99e02b308379e7ec08b7e2ebae2407f589a288818ce3db3789529ab1","44851516","1688865260","2023-07-09 01:14:20","0x25ca0352a5362393844839ebda8095c8858c074b","0x8d58a40977e1f40ffaf383511046bc72047c8de9","109.2","$109.21","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x7a44c6648ecaf4a35c873ad9d7c0dced8e1c902236451cd865f034c7599fdbba","44851564","1688865362","2023-07-09 01:16:02","0x9a9528f759f3a71843882c524312a926e6e9563a","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.02","$100.03","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xea21425484d34790bf0d55dbe38ecd7c52be4fbe69bec7f7f613b7104545880a","44851664","1688865576","2023-07-09 01:19:36","0xc0a429202ab2550d4293d256d00af5ed01b5b349","0x8d58a40977e1f40ffaf383511046bc72047c8de9","479.82","$479.87","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xa46f3e07f633ca8a2b57df8f8990cced3b70309c04bd17e9b9905dcf47d84263","44851675","1688865598","2023-07-09 01:19:58","0xbd327a2753c8986e35c811e5e39204dd4bf7c00a","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.02","$100.03","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xe02a368b32895c678c0c62222f501a2d063c2db9fe4908b0fc9ec60bd72a2b77","44851718","1688865696","2023-07-09 01:21:36","0x49a4096a3d59f2a2b499b20e96ef5fdc060058b8","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.02","$100.03","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xbee1521fa01d9c92a9eea4c34ad80a10cef91f472b1318b206c938bde92e5ea7","44851741","1688865744","2023-07-09 01:22:24","0x8556e3b88f12e17d2cd7711e881432f0d138d53a","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.02","$100.03","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x2079e1431634c34bcb92beb9b983a1f859e7a8b371e88a28b18916f78d1f04c0","44851773","1688865812","2023-07-09 01:23:32","0x5af0f1804ef59b9a1ef21b014641784d00f0b4cb","0x8d58a40977e1f40ffaf383511046bc72047c8de9","40,000.002","$40,004.31","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x1141943297b6eadd27302dc76ec30917030afb456e5cde34ee2c777dc8fa9634","44851803","1688865877","2023-07-09 01:24:37","0x027a6e8c0125ee0bee62bfec5740ab116090f697","0x8d58a40977e1f40ffaf383511046bc72047c8de9","99.99","$100.00","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x674f0f3578b5d688dc4fccf2c576c7e386ab466d4ccca6627bedf73948c09a39","44851816","1688865905","2023-07-09 01:25:05","0x2c9105fdd10c63ee2bde1f2f857bf1b8be425438","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.02","$100.03","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x51e107a125f82c6022fa589736dfe44434b9259bb80c757ebc22c014ecf95f8a","44851904","1688866095","2023-07-09 01:28:15","0x75e618e31834a7ca9c2a96c16105683c8ccba191","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.02","$100.03","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x39ae5b7ffbfd96aef1525030316fb6ded19ef89376c68ef487f0ae85ba6fa7fa","44851942","1688866205","2023-07-09 01:30:05","0x01c271ee22f4fb923f3584d516e9f6f2552ad72a","0x8d58a40977e1f40ffaf383511046bc72047c8de9","405","$405.04","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x9a7d0c23611c005fd2c8a53df8a082e6c47f0712a13bbcc7d6d7cc1aa97af79f","44851952","1688866227","2023-07-09 01:30:27","0x415434203652fef8540193da91871ae960035d86","0x8d58a40977e1f40ffaf383511046bc72047c8de9","0","$0.00","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x08e3b2a88047500f81667de6954072a606f72b2a70e6871f8ffbb897ee25bbd1","44851992","1688866311","2023-07-09 01:31:51","0xcd8949f100d32074b41309d03dedc7f5e4b81965","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.002","$100.01","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xff5611975ec9a4915cfb1eb07e505180264ac7b0a01861edec1b5b566b02729f","44852009","1688866347","2023-07-09 01:32:27","0x3061af51bc315d078ba50dd49ede7f0083d55e8b","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.02","$100.03","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
